Out.SubInd,PrName,Observations,Studies,Sites,RR.Shapiro.Sig,RR,RR.median,RR.var,RR.se,RR.Quantiles0.25,PC.Shapiro.Sig,PC,PC.median,PC.se,PC.var,PC.Quantiles0.25,Units,Model,MeanT.Obs,MeanT,MeanT.se,MeanC.Obs,MeanC,MeanC.se,RR.t value,RR.Pr(>|t|),RR.Sigma2,PC.t value,PC.Pr(>|t|),PC.Sigma2,RR.pc.se.low,RR.pc,RR.pc.se.high,RR.pc.jen.low,RR.pc.jen,RR.pc.jen.high,PC.pc.se.low,PC.pc,PC.pc.se.high
Biomass Yield,Agroforestry Pruning-Parklands,26,3,3,0.16968,0.44719,0.2820937076329745,0.34508,0.11036,-0.40533|-0.04969|0.28209|0.68497|1.4946,2.6e-4,1.84093,1.3261171522049544,0.22967,1.49454,0.66675|0.95153|1.32612|1.98371|4.45755,Multiple,lm,NA,NA,NA,NA,NA,NA,4.05215,4.3e-4,0.10352,8.01552,0,0.44836,40.0501,56.39114,74.63886,47.48997,64.6991,83.91619,61.126,84.093,107.06
Soil Organic Matter,Parklands,12,2,2,0.83496,0.42115,0.3782052538391452,0.07449,0.06955,-0.04121|0.29334|0.37821|0.52199|0.80396,0.67212,1.5643,1.4597067636986303,0.10779,0.17894,0.95963|1.34118|1.45971|1.68723|2.23438,Multiple,lm,NA,NA,NA,NA,NA,NA,6.05542,8e-5,0.01693,14.51211,0,0.04067,42.13399,52.37128,63.34592,43.34226,53.66658,64.73452,45.651,56.43,67.209
Soil Organic Carbon,Parklands,12,2,2,0.98995,0.34362,0.3242312949092383,0.08968,0.07631,-0.14399|0.12429|0.32423|0.43818|0.80402,0.64041,1.45588,1.3832050082567728,0.11208,0.19345,0.8659|1.13547|1.38321|1.55222|2.2345,Multiple,lm,NA,NA,NA,NA,NA,NA,4.50303,9e-4,0.02038,12.98962,0,0.04397,30.64454,41.00427,52.1855,31.98261,42.44845,53.7442,34.38,45.588,56.796
Soil Organic Carbon,Agroforestry Pruning-Parklands,6,2,3,0.27851,0.33802,0.2231956823568034,0.06504,0.09877,0.06252|0.16979|0.2232|0.37152|0.78177,0.11424,1.43867,1.2502955798018918,0.15412,0.15835,1.06452|1.18506|1.2503|1.46204|2.18534,Multiple,lm,NA,NA,NA,NA,NA,NA,3.42212,0.0188,0.03903,9.3348,2.4e-4,0.09501,27.02961,40.21685,54.7731,29.53294,42.98006,57.82316,28.455,43.867,59.279
Soil Organic Matter,Agroforestry Pruning,11,4,3,0.47432,0.09812,0.011904902506318458,0.03801,0.12204,-0.29226|-0.06736|0.0119|0.11856|0.3721,0.29527,1.12789,1.0119760479041917,0.14306,0.0452,0.74658|0.93491|1.01198|1.12588|1.45078,%,lmerModLmerTest,7,1.44167,0.21329,4,1.298,0.11401,0.80402,0.50995,0.01414,7.88404,0.01738,0.01244,-2.36362,10.30951,24.62761,-1.67088,11.09217,25.51185,-1.517,12.789,27.095
Soil Organic Matter,Agroforestry Pruning-Organic Fertilizer,5,2,2,0.12546,0.35502,0.13200382510561046,0.12247,0.13678,0.12883|0.12883|0.132|0.56904|0.92146,0.22508,1.50628,1.1411184210526315,0.22558,0.33618,1.1375|1.1375|1.14112|1.81727|2.51295,%,NA,4,2.03222,1.59566,2,1.16333,0.24937,NA,NA,NA,NA,NA,NA,24.38785,42.62024,63.52509,NA,73.85122,NA,28.07078,50.62839,73.186
Soil Organic Matter,Agroforestry Pruning-Inorganic Fertilizer,8,2,1,0.46054,-0.00363,-0.056352936551131744,0.01741,0.0432,-0.13942|-0.11692|-0.05635|0.05816|0.22596,0.29426,1.00309,0.9452054794520548,0.04519,0.01906,0.86986|0.88966|0.94521|1.05988|1.25352,%,lm,4,1.50375,0.00181,2,1.5,0.00398,-0.084,0.93541,0.00746,22.19655,0,0.00817,-4.57504,-0.36234,4.03633,-4.21844,0.01,4.42511,-4.21,0.309,4.828
Crop Yield,Agroforestry Pruning-Boundary Planting,91,3,5,0.3057,0.11128,0.13631296786342925,0.27615,0.11981,-0.83965|-0.07932|0.13631|0.51071|1.20397,2.2e-4,1.23089,1.146041554510061,0.13392,0.4085,0.43186|0.92375|1.14604|1.66653|3.33333,Mg/ha,lmerModLmerTest,18,1.38791,0.34206,7,1.12892,0.20794,0.92884,0.40455,0.00685,9.19099,6.2e-4,0.01062,-0.84937,11.77078,25.99726,-0.5092,12.15425,26.42954,9.697,23.089,36.481
Crop Yield,Agroforestry Pruning-Boundary Planting-Inorganic Fertilizer,41,2,2,0.00543,1.25492,1.0619976498353652,0.91735,0.10708,0.07623|0.79383|1.062|1.46844|2.31574,0,4.47609,2.892142771589412,0.52689,22.20871,1.07921|2.21189|2.89214|4.34247|10.13243,Mg/ha,lm,9,2.34935,0.93322,3,0.98612,0.34674,11.71912,0,0.02293,8.49538,0,0.55522,215.13786,250.75578,290.39935,218.7717,254.80033,294.90103,294.92,347.609,400.298
Soil Nitrogen,Agroforestry Fallow-Agroforestry Pruning,19,2,2,0.33715,-0.02532,-0.02149651258597873,0.03049,0.03629,-0.34285|-0.16887|-0.0215|0.09799|0.21905,0.48728,0.98643,0.9787414965986394,0.03497,0.0283,0.70974|0.84479|0.97874|1.10296|1.2449,Multiple,lm,NA,NA,NA,NA,NA,NA,-0.69759,0.49435,0.00593,28.20669,0,0.0055,-5.97505,-2.50021,1.10304,-5.69585,-2.2107,1.40325,-4.854,-1.357,2.14
